City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
288,Zatoka,UA,46.0725,30.4654,64.87,62,86,13.31,overcast clouds
289,Klobuck,PL,50.9008,18.9367,65.05,78,95,12.26,overcast clouds
290,Prilep,MK,41.3464,21.5544,73.6,26,31,1.59,scattered clouds
291,Hobyo,SO,5.3505,48.5268,81.54,71,60,22.41,broken clouds
292,Road Town,VG,18.4167,-64.6167,80.64,89,40,8.05,scattered clouds
293,Mumford,GH,5.2618,-0.759,81.77,70,99,7.65,overcast clouds
294,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.49,44,1,11.41,clear sky
295,Kamareddi,IN,18.3167,78.35,77.58,82,92,3.13,overcast clouds
296,Thinadhoo,MV,0.5333,72.9333,82.04,76,5,16.04,clear sky
297,Luena,AO,-11.7833,19.9167,93.02,11,2,9.44,clear sky
298,Dudinka,RU,69.4058,86.1778,36.63,98,100,13.2,light rain
299,Rocha,UY,-34.4833,-54.3333,66.63,56,100,19.17,overcast clouds
300,Eyl,SO,7.9803,49.8164,90.39,47,19,23.8,few clouds
301,Severnyy,RU,50.677,36.5532,62.64,51,0,6.71,clear sky
302,Bayji,IQ,34.9311,43.487,102.25,9,0,6.58,clear sky
303,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.2,64,80,11.95,broken clouds
304,General Pico,AR,-35.6566,-63.7568,50.81,30,35,25.37,scattered clouds
305,Beloha,MG,-25.1667,45.05,102.2,16,0,8.39,clear sky
306,Kyshtovka,RU,56.555,76.6271,53.73,51,99,4.76,overcast clouds
307,Safaga,EG,26.7292,33.9365,87.37,44,0,18.72,clear sky
308,Grong,NO,64.4654,12.3149,43.88,82,100,18.97,light rain
309,Nuuk,GL,64.1835,-51.7216,34.39,69,99,10.56,overcast clouds
310,Matagami,CA,49.7502,-77.6328,32.11,86,100,9.22,light snow
311,Karera,IN,25.4667,78.15,79.59,82,79,5.82,broken clouds
312,Faya,SA,18.3851,42.4509,79.32,17,64,5.77,broken clouds
313,Itaituba,BR,-4.2761,-55.9836,80.76,89,20,0.0,mist
314,Mount Darwin,ZW,-16.7725,31.5838,90.12,17,0,14.61,clear sky
315,Opuwo,NA,-18.0607,13.84,97.57,7,1,13.29,clear sky
316,Oxelosund,SE,58.6706,17.1015,57.58,58,40,18.41,scattered clouds
317,Qarayeri,AZ,40.7886,46.3066,70.68,64,75,6.91,broken clouds
318,Inirida,CO,3.8653,-67.9239,75.87,93,80,1.43,broken clouds
319,Usinsk,RU,65.9939,57.5281,44.62,72,92,14.67,overcast clouds
